Time Step - No.;Time Step - Repetitions;Newton Iterations;Cumulative Time - DAYS;Date;Cumulative Production Oil MSTB;Cumulative Production Gas MMSCF;Cumulative Production Water MSTB;Cumulative Injection Gas MMSCF;Cumulative Injection Water MSTB;Production Rate Oil STB/D;Production Rate Gas MSCF/D;Production Rate Water STB/D;Injection Rate Gas MSCF/D;Injection Rate Water STB/D;Gaslift Rate - MSCF/D;Cumulative Gaslift - MMSCF;Gas Oil Ratio MSCF/STB;Water Oil Ratio STB/STB;Water Cut - STB/STB;Recovery OOIP - %;Ave.Wt. Pressure Tot-PV PSIA;Ave.Wt. Pressure HCPV+ PSIA;CPU TIME - Seconds;Elapsed TIME - Seconds
70;0;1;1765;Wed Nov 01 00:00:00 GST 1995;0;0;6082.388;0;0;0;0;2725.28;0;0;0;0;0;0;1;0;4761.78;4688.22;366.7;369.1
71;0;1;1795;Fri Dec 01 00:00:00 GST 1995;0;0;6163.96;0;0;0;0;2719.09;0;0;0;0;0;0;1;0;4761.52;4688.08;370.9;373.4
72;0;1;1826;Mon Jan 01 00:00:00 GST 1996;0;0;6248.057;0;0;0;0;2712.81;0;0;0;0;0;0;1;0;4761.26;4687.92;375.3;377.7
73;0;1;1857;Thu Feb 01 00:00:00 GST 1996;0;0;6331.963;0;0;0;0;2706.64;0;0;0;0;0;0;1;0;4760.99;4687.77;379.7;382.1
74;0;1;1886;Fri Mar 01 00:00:00 GST 1996;0;0;6410.291;0;0;0;0;2700.97;0;0;0;0;0;0;1;0;4760.74;4687.62;384;386.4
75;0;1;1917;Mon Apr 01 00:00:00 GST 1996;0;0;6493.837;0;0;0;0;2695.01;0;0;0;0;0;0;1;0;4760.47;4687.47;388.3;390.7
76;0;1;1947;Wed May 01 00:00:00 GST 1996;0;0;6574.517;0;0;0;0;2689.34;0;0;0;0;0;0;1;0;4760.22;4687.32;392.6;395
77;0;1;1978;Sat Jun 01 00:00:00 GST 1996;0;0;6657.709;0;0;0;0;2683.6;0;0;0;0;0;0;1;0;4759.96;4687.16;398.6;401
78;0;1;2008;Mon Jul 01 00:00:00 GST 1996;0;0;6738.052;0;0;0;0;2678.12;0;0;0;0;0;0;1;0;4759.7;4687.01;402.9;405.3
79;0;1;2039;Thu Aug 01 00:00:00 GST 1996;0;0;6820.902;0;0;0;0;2672.57;0;0;0;0;0;0;1;0;4759.44;4686.85;407.3;409.7
80;0;1;2070;Sun Sep 01 00:00:00 GST 1996;0;0;6903.582;0;0;0;0;2667.1;0;0;0;0;0;0;1;0;4759.18;4686.69;411.6;414
81;0;1;2100;Tue Oct 01 00:00:00 GST 1996;0;0;6983.439;0;0;0;0;2661.9;0;0;0;0;0;0;1;0;4758.93;4686.54;415.9;418.4
82;0;1;2131;Fri Nov 01 00:00:00 GST 1996;0;0;7065.793;0;0;0;0;2656.6;0;0;0;0;0;0;1;0;4758.67;4686.38;420.3;422.7
83;0;1;2161;Sun Dec 01 00:00:00 GST 1996;0;0;7145.34;0;0;0;0;2651.57;0;0;0;0;0;0;1;0;4758.42;4686.22;424.6;427
84;0;1;2192;Wed Jan 01 00:00:00 GST 1997;0;0;7227.381;0;0;0;0;2646.45;0;0;0;0;0;0;1;0;4758.16;4686.06;428.9;431.4
85;0;1;2223;Sat Feb 01 00:00:00 GST 1997;0;0;7309.264;0;0;0;0;2641.42;0;0;0;0;0;0;1;0;4757.9;4685.9;433.2;435.7
86;0;1;2251;Sat Mar 01 00:00:00 GST 1997;0;0;7383.099;0;0;0;0;2636.93;0;0;0;0;0;0;1;0;4757.67;4685.76;437.6;440.1
87;0;1;2282;Tue Apr 01 00:00:00 GST 1997;0;0;7464.692;0;0;0;0;2632.04;0;0;0;0;0;0;1;0;4757.41;4685.59;443.6;446.1
88;0;1;2312;Thu May 01 00:00:00 GST 1997;0;0;7543.513;0;0;0;0;2627.38;0;0;0;0;0;0;1;0;4757.17;4685.43;448;450.5
89;0;1;2343;Sun Jun 01 00:00:00 GST 1997;0;0;7624.815;0;0;0;0;2622.64;0;0;0;0;0;0;1;0;4756.91;4685.27;452.3;454.8
90;0;1;2373;Tue Jul 01 00:00:00 GST 1997;0;0;7703.359;0;0;0;0;2618.12;0;0;0;0;0;0;1;0;4756.67;4685.11;456.6;459.1
91;0;1;2404;Fri Aug 01 00:00:00 GST 1997;0;0;7784.378;0;0;0;0;2613.51;0;0;0;0;0;0;1;0;4756.41;4684.95;461;463.5
92;0;1;2435;Mon Sep 01 00:00:00 GST 1997;0;0;7865.256;0;0;0;0;2608.97;0;0;0;0;0;0;1;0;4756.16;4684.78;465.4;467.9
93;0;1;2465;Wed Oct 01 00:00:00 GST 1997;0;0;7943.395;0;0;0;0;2604.65;0;0;0;0;0;0;1;0;4755.92;4684.62;469.7;472.2
94;0;1;2496;Sat Nov 01 00:00:00 GST 1997;0;0;8024.002;0;0;0;0;2600.23;0;0;0;0;0;0;1;0;4755.66;4684.45;474;476.5
95;0;1;2526;Mon Dec 01 00:00:00 GST 1997;0;0;8101.883;0;0;0;0;2596.02;0;0;0;0;0;0;1;0;4755.42;4684.29;478.4;480.9
96;0;1;2557;Thu Jan 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;2591.73;0;0;0;0;0;0;1;0;4755.17;4684.12;482.7;485.2
97;0;2;2588;Sun Feb 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.21;4683.96;492.8;495.4
98;0;1;2616;Sun Mar 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.24;4683.81;497.5;500
99;0;1;2647;Wed Apr 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.27;4683.65;502.1;504.6
100;0;1;2677;Fri May 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.31;4683.5;506.7;509.3
101;0;1;2708;Mon Jun 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.34;4683.35;511.3;513.9
102;0;1;2738;Wed Jul 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.37;4683.21;515.9;518.5
103;0;1;2769;Sat Aug 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.4;4683.07;520.5;523.1
104;0;1;2800;Tue Sep 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.43;4682.93;525.2;527.7
105;0;1;2830;Thu Oct 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.46;4682.79;529.7;532.3
106;0;1;2861;Sun Nov 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.49;4682.66;535.9;538.5
107;0;1;2891;Tue Dec 01 00:00:00 GST 1998;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.52;4682.53;540.5;543.1
108;0;1;2922;Fri Jan 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.55;4682.4;545.1;547.7
109;0;1;2953;Mon Feb 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.58;4682.27;549.7;552.3
110;0;1;2981;Mon Mar 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.6;4682.16;554.4;557
111;0;1;3012;Thu Apr 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.63;4682.04;559;561.6
112;0;1;3042;Sat May 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.65;4681.92;563.5;566.1
113;0;1;3073;Tue Jun 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.68;4681.8;568;570.7
114;0;1;3103;Thu Jul 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.71;4681.68;572.6;575.2
115;0;1;3134;Sun Aug 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.73;4681.57;577.2;579.8
116;0;1;3165;Wed Sep 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.76;4681.45;583.4;586.1
117;0;1;3195;Fri Oct 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.78;4681.34;588.1;590.7
118;0;1;3226;Mon Nov 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.81;4681.22;592.7;595.3
119;0;1;3256;Wed Dec 01 00:00:00 GST 1999;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.83;4681.11;597.2;599.9
120;0;1;3287;Sat Jan 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.85;4681;601.8;604.5
121;0;1;3318;Tue Feb 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.88;4680.89;606.4;609
